Colcariers,Colcariers'
ought,ought
wysely,wisely
too,too
beware,beware
Of,Of
whom,whom
too,to
whom,whom
and,and
what,what
they,they
speake,speak
For,For
sore,sore
against,against
his,his
will,will
Can,Can
any,any
freendly,friendly
hart,heart
abyde,abide
too,too
heare,hear
reported,reported
ill,ill
The,The
partie,party
whom,whom
he,he
fauoureth,favoureth
This,This
tale,tale
dooth,doth
eeke,eke
bewray,bewray
The,The
rage,rage
of,of
wrath,wrath
and,and
ielozie,jealousy
too,too
haue,have
no,no
kynd,kind
of,of
stay,stay
And,And
that,that
lyght,light
credit,credit
too,too
reportes,reports
in,in
no,no
wyse,wise
should,should
be,be
giuen,given
For,For
feare,fear
that,that
men,men
too,too
late,late
too,too
iust,just
repentance,repentance
should,should
bee,be
driuen,driven
The,The
fable,fable
of,of
Ocyroee,Ocyroee
by,by
all,all
such,such
folk,folk
is,is
told,told
As,As
are,are
in,in
serching,searching
things,things
too,too
come,come
too,too
curious,curious
and,and
too,too
bold,bold
A,A
very,very
good,good
example,example
is,is
describde,described
in,in
Battus,Battus
tale,tale
For,For
couetous,covetous
people,people
which,which
for,for
gayne,gain
doo,do
set,set
theyr,their
toongs,tongues
too,too
sale,sale
All,All
such,such
as,as
doo,do
in,in
flattring,flattering
freaks,freaks
and,and
hawks,hawks
and,and
hownds,hounds
delyght,delight
And,And
dyce,dice
Out,Out
of,of
the,the
and,and
cards,cards
and,and
for,for
too,too
spend,spend
the,the
tyme,time
both,both
day,day
and,and
nyght,night
In,In
foule,foul
excesse,excess
of,of
chamberworke,chamberworke
or,or
too,too
much,much
meate,meat
and,and
drink,drink
Uppon,Upon
the,the
piteous,piteous
storie,story
of,of
Acteon,Actaeon
ought,ought
too,too
think,think
For,For
theis,these
and,and
theyr,their
adherents,adherents
vsde,used
excessiue,excessive
are,are
in,in
deede,deed
The,The
dogs,dogs
that,that
dayly,daily
doo,do
deuour,devour
theyr,their
followers,followers
on,on
with,with
speede,speed
Tyresias,Tiresias
willes,wills
inferior,inferior
folk,folk
in,in
any,any
wyse,wise
too,too
shun,shun
Too,Too
iudge,judge
betweene,between
their,their
betters,betters
least,lest
in,in
perill,peril
they,they
doo,do
run,run
Narcissus,Narcissus
is,is
of,of
scornfulnesse,scornfulness
and,and
pryde,pride
a,a
myrror,mirror
cleere,clear
Where,Where
beawties,beauties
fading,fading
vanitie,vanity
most,most
playnly,plainly
may,may
appeere,appear
And,And
Echo,Echo
in,in
the,the
selfsame,self-same
tale,tale
dooth,doth
kyndly,kindly
represent,represent
The,The
lewd,lewd
behauiour,behaviour
of,of
a,a
bawd,bawd
and,and
his,his
due,due
punishment,punishment
The,The
piteous,piteous
tale,tale
of,of
Pyramus,Pyramus
and,and
Thisbee,Thisbee
doth,doth
conteine,contain
Out,Out
of,of
the,the
iiij,iiij
The,The
headie,heady
force,force
of,of
frentick,frentick
loue,love
whose,whose
end,end
is,is
wo,woe
and,and
payne,pain
The,The
snares,snares
of,of
Mars,Mars
and,and
Uenus,Venus
shew,show
that,that
tyme,time
will,will
bring,bring
too,too
lyght,light
The,The
secret,secret
sinnes,sins
that,that
folk,folk
commit,commit
in,in
corners,corners
or,or
by,by
nyght,night
Her,Her
maphrodite,maphrodite
