fire,fire
and,and
worthy,worthy
Mauritius,Mauritius
here,here
mentioned,mentioned
then,than
Bishop,Bishop
of,of
London,London
beganne,began
a,a
new,new
foundation,foundation
thereof,thereof
in,in
manner,manner
as,as
now,now
it,it
is,is
vpon,upon
Arches,Arches
and,and
Vaults,Vaults
of,of
stone,stone
for,for
defence,defence
of,of
fire,fire
In,In
which,which
worke,work
he,he
continued,continued
a,a
constant,constant
and,and
a,a
bountifull,bountiful
Benefactor,Benefactor
for,for
yeares,years
together,together
and,and
then,then
dyed,died
After,After
him,him
viz,viz
Anno,Anno
succeeded,succeeded
Bishop,Bishop
who,who
wonderfully,wonderfully
encreased,increased
the,the
same,same
Church,Church
for,for
yeares,years
more,more
purchasing,purchasing
at,at
his,his
owne,own
costs,costs
the,the
large,large
Streets,Streets
and,and
Lanes,Lanes
round,round
about,about
it,it
which,which
he,he
beganne,began
to,to
compasse,compass
about,about
with,with
a,a
strong,strong
wall,wall
of,of
stone,stone
and,and
Gates,Gates
Long,Long
liu'd,lived
as,as
Nestor,Nestor
and,and
in,in
euery,every
way,way
Happy,Happy
and,and
prosperous,prosperous
till,till
his,his
dying,dying
day,day
That,That
still,still
he,he
may,may
this,this
famous,famous
Church,Church
aduance,advance
In,In
gaining,gaining
her,her
both,both
Coine,Coin
and,and
Countenance,Countenance
Till,Till
such,such
a,a
noble,noble
Register,Register
be,be
seene,seen
Of,Of
Benefactors,Benefactors
as,as
hath,hath
neuer,never
beene,been
In,In
any,any
age,age
or,or
any,any
worke,work
before,before
And,And
till,till
he,he
say,say
Enough,Enough
there,there
needs,needs
no,no
more,more
And,And
cause,cause
no,no
mourning,mourning
in,in
our,our
streets,streets
may,may
be,be
With,With
such,such
as,as
feare,fear
demolishment,demolishment
to,to
see,see
Lord,Lord
for,for
thy,thy
Names,Names
sake,sake
let,let
it,it
be,be
thy,thy
pleasure,pleasure
The,The
rather,rather
to,to
encrease,increase
that,that
pious,pious
Treasure,Treasure
That,That
euery,every
one,one
may,may
haue,have
some,some
satisfaction,satisfaction
To,To
gaine,gain
their,their
prayers,prayers
in,in
so,so
good,good
an,an
action,action
And,And
that,that
two,two
Noble,Noble
workes,works
together,together
may,may
Be,Be
brauely,bravely
done,done
to,to
all,all
TRUE,TRUE
Subiects,Subject's
ioy,joy
And,And
through,through
the,the
world,world
this,this
fame,fame
may,may
euer,ever
ring,ring
