Discourses,Discourses
a,a
certain,certain
Rich,Rich
Man,Man
who,who
was,was
clothed,clothed
in,in
Purple,Purple
and,and
fine,fine
Linen,Linen
who,who
fared,fared
sumptuously,sumptuously
every,every
Day,Day
INtending,INtending
to,to
go,go
over,over
the,the
whole,whole
remainder,remainder
of,of
this,this
Chapter,Chapter
it,it
will,will
be,be
requisite,requisite
to,to
speak,speak
something,something
to,to
it,it
by,by
way,way
of,of
Introduction,Introduction
in,in
the,the
general,general
It,It
is,is
much,much
Disputed,Disputed
among,among
Interpreters,Interpreters
Whether,Whether
this,this
be,be
a,a
Parable,Parable
or,or
an,an
History,History
some,some
arguing,arguing
for,for
the,the
one,one
and,and
some,some
for,for
the,the
other,other
but,but
there,there
is,is
a,a
third,third
sort,sort
which,which
go,go
a,a
middle,middle
way,way
to,to
accommodate,accommodate
this,this
difference,difference
by,by
understanding,understanding
it,it
as,as
a,a
mixture,mixture
of,of
bloth,bloth
e,e
a,a
kind,kind
of,of
Parabolical,Parabolical
History,History
or,or
Historical,Historical
Parable,Parable
It,It
may,may
be,be
partly,partly
a,a
Narrative,Narrative
of,of
matter,matter
of,of
Fact,Fact
and,and
partly,partly
illustrated,illustrated
with,with
circumstantial,circumstantial
additions,additions
which,which
are,are
not,not
to,to
be,be
look'd,looked
upon,upon
as,as
real,real
things,things
nor,nor
stretch'd,stretched
too,too
far,far
beyond,beyond
the,the
main,main
design,design
tho,tho
every,every
passage,passage
will,will
afford,afford
us,us
proper,proper
instructions,instructions
as,as
we,we
shall,shall
see,see
in,in
the,the
progress,progress
if,if
the,the
Lord,Lord
will,will
The,The
ground-work,ground-work
of,of
all,all
resembles,resembles
that,that
of,of
Nathan's,Nathan's
Parable,Parable
to,to
David,David
Sam,Sam
There,There
were,were
two,two
Men,Men
in,in
one,one
City,City
the,the
one,one
Rich,Rich
and,and
the,the
other,other
Poor,Poor
So,So
here,here
the,the
persons,persons
whom,whom
this,this
Discourse,Discourse
hath,hath
a,a
relation,relation
were,were
a,a
Rich,Rich
and,and
a,a
Poor,Poor
Man,Man
remarkably,remarkably
distinguisht,distinguished
one,one
from,from
the,the
other,other
by,by
their,their
Condition,Condition
not,not
only,only
in,in
this,this
World,World
but,but
in,in
the,the
next,next
This,This
v,v
contains,contains
a,a
Character,Character
of,of
the,the
former,former
and,and
what,what
is,is
said,said
